,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,O_long,O_lat,D_long,D_lat
1555,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche conductor,11:00,22,Errenteria,2,2,1,Otros hogares sin niños,2,3,1,1,2021,21602.285,-1.975307595530578,43.319202425284914,-2.033693,43.256347
1556,Donostialdea,Donostialdea,Hernani,Urnieta,Coche pasajero,08:20,22,Hernani,1,2,1,Hogar de una persona,2,5,1,1,2021,24507.11,-1.9389813110735596,43.24223249491795,-2.033693,43.256347
1557,Donostialdea,Donostialdea,Donostia/San Sebastian,Hernani,Coche conductor,18:00,22,Hernani,2,4,2,Otros hogares sin niños,1,6,1,1,2021,27651.46,-2.0071589300425514,43.304672189782465,-2.033693,43.256347
1558,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Coche conductor,11:30,99,Errenteria,2,3,2,Otros hogares con niños,1,3,1,1,2021,21297.335,-1.9715829239510612,43.32405509582963,-2.033693,43.256347
1559,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Coche pasajero,08:00,22,Errenteria,1,2,1,2 adultos,2,4,1,1,2021,22097.67,-1.892431384043739,43.31042274188489,-2.033693,43.256347
1560,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Coche conductor,07:00,22,Errenteria,2,3,1,2 adultos con niño(s),1,5,1,1,2021,27437.11,-1.9127294216784811,43.31118534215992,-2.033693,43.256347
1561,Debabarrena,Donostialdea,Eibar,Usurbil,Coche conductor,12:00,22,Eibar,2,3,1,Otros hogares sin niños,2,3,1,1,2021,24278.035,-2.483229487950877,43.18366560560446,-2.033693,43.256347
1562,Debagoiena,Donostialdea,Oñati,Donostia/San Sebastian,Coche conductor,17:00,22,Donostia/San Sebastian,2,3,2,Otros hogares sin niños,1,4,1,1,2021,25017.26,-2.433830326345755,43.05162676709463,-2.033693,43.256347
1563,Donostialdea,Donostialdea,Errenteria,Oiartzun,Coche conductor,13:00,23,Oiartzun,2,3,2,Otros hogares con niños,2,3,1,1,2021,23763.435,-1.9140042487935478,43.306942706284595,-2.033693,43.256347
1564,Donostialdea,Donostialdea,Hernani,Donostia/San Sebastian,Coche conductor,17:00,22,Donostia/San Sebastian,1,2,1,2 adultos,2,3,1,1,2021,22756.935,-1.990222325563346,43.273197565843894,-2.033693,43.256347
1565,Donostialdea,Donostialdea,Lasarte-Oria,Donostia/San Sebastian,Autobús interurbano,16:20,22,Lasarte-Oria,1,2,1,Hogar de una persona,2,4,1,1,2021,22393.67,-2.0191164666916657,43.26625655076642,-2.033693,43.256347
1566,Donostialdea,Donostialdea,Pasaia,Donostia/San Sebastian,Autobús interurbano,08:55,22,Pasaia,2,3,2,Otros hogares con niños,2,3,1,1,2021,23269.735,-1.9180280741434745,43.31887449306962,-2.033693,43.256347
